transaction_id,sender_id,receiver_id,amount,timestamp
T1,N003,N275,120,2025-02-02 07:09:00
T2,N029,N217,1500,2025-02-02 17:57:00
T3,N072,N241,1500,2025-02-01 17:26:00
T4,N079,N287,1500,2025-02-02 11:37:00
T5,N112,N210,340,2025-02-02 11:56:00
T6,N069,N211,1500,2025-02-02 17:03:00
T7,N085,N272,120,2025-02-01 21:53:00
T8,N021,N245,480,2025-02-02 14:42:00
T9,N122,N157,480,2025-02-02 01:43:00
T10,N147,N158,250,2025-02-02 14:37:00
T11,N075,N278,1500,2025-02-02 10:37:00
T12,N080,N227,250,2025-02-01 09:23:00
T13,N002,N158,480,2025-02-01 10:09:00
T14,N031,N232,1500,2025-02-01 18:10:00
T15,N063,N154,250,2025-02-02 17:05:00
T16,N090,N244,250,2025-02-02 10:15:00
T17,N144,N296,120,2025-02-01 19:10:00
T18,N023,N160,900,2025-02-01 17:49:00
T19,N046,N188,120,2025-02-02 02:37:00
T20,N035,N256,120,2025-02-01 09:42:00
T21,N115,N169,1500,2025-02-01 14:23:00
T22,N040,N292,250,2025-02-01 20:18:00
T23,N029,N198,1500,2025-02-01 10:01:00
T24,N081,N193,480,2025-02-02 15:20:00
T25,N105,N282,340,2025-02-02 17:15:00
T26,N075,N220,900,2025-02-01 16:04:00
T27,N059,N234,340,2025-02-02 16:58:00
T28,N078,N237,340,2025-02-02 15:31:00
T29,N080,N179,120,2025-02-02 05:28:00
T30,N086,N176,250,2025-02-01 09:04:00
T31,N088,N278,480,2025-02-01 12:26:00
T32,N037,N187,340,2025-02-01 13:12:00
T33,N038,N208,1500,2025-02-02 05:00:00
T34,N059,N244,250,2025-02-02 15:49:00
T35,N131,N173,1500,2025-02-01 15:18:00
T36,N035,N241,250,2025-02-01 10:14:00
T37,N044,N247,120,2025-02-02 10:56:00
T38,N026,N246,1500,2025-02-01 23:56:00
T39,N056,N179,120,2025-02-01 23:42:00
T40,N048,N202,480,2025-02-01 23:29:00
T41,N098,N281,120,2025-02-02 15:23:00
T42,N116,N217,1500,2025-02-02 00:41:00
T43,N086,N264,250,2025-02-01 21:37:00
T44,N067,N280,120,2025-02-01 10:28:00
T45,N004,N279,480,2025-02-02 05:53:00
T46,N022,N295,1500,2025-02-01 12:26:00
T47,N145,N166,480,2025-02-01 23:22:00
T48,N113,N202,480,2025-02-01 10:39:00
T49,N053,N266,120,2025-02-01 10:19:00
T50,N040,N250,120,2025-02-01 13:33:00
T51,N039,N181,340,2025-02-02 00:14:00
T52,N091,N184,900,2025-02-01 23:11:00
T53,N094,N234,120,2025-02-02 16:03:00
T54,N032,N261,900,2025-02-02 07:05:00
T55,N023,N230,250,2025-02-01 09:56:00
T56,N056,N212,480,2025-02-02 16:49:00
T57,N019,N192,340,2025-02-02 03:42:00
T58,N053,N296,1500,2025-02-02 01:44:00
T59,N114,N206,480,2025-02-02 04:00:00
T60,N085,N243,250,2025-02-01 20:41:00
T61,N015,N212,480,2025-02-02 09:28:00
T62,N122,N166,250,2025-02-02 00:54:00
T63,N050,N290,250,2025-02-02 14:17:00
T64,N115,N193,340,2025-02-02 13:39:00
T65,N118,N186,340,2025-02-02 18:07:00
T66,N024,N159,480,2025-02-01 20:04:00
T67,N079,N199,1500,2025-02-02 16:24:00
T68,N102,N298,900,2025-02-01 11:35:00
T69,N115,N290,480,2025-02-02 07:57:00
T70,N089,N290,250,2025-02-02 12:57:00
T71,N042,N173,120,2025-02-02 12:05:00
T72,N040,N280,1500,2025-02-01 19:18:00
T73,N024,N174,340,2025-02-02 05:03:00
T74,N096,N156,1500,2025-02-01 19:14:00
T75,N011,N212,120,2025-02-02 00:59:00
T76,N027,N295,480,2025-02-01 14:44:00
T77,N021,N231,900,2025-02-02 13:08:00
T78,N003,N164,250,2025-02-02 13:44:00
T79,N029,N242,340,2025-02-02 13:27:00
T80,N071,N173,900,2025-02-01 23:34:00
T81,N089,N170,480,2025-02-01 18:50:00
T82,N122,N212,480,2025-02-01 12:21:00
T83,N012,N271,120,2025-02-01 18:25:00
T84,N110,N175,250,2025-02-01 19:43:00
T85,N105,N235,340,2025-02-02 13:17:00
T86,N055,N261,340,2025-02-02 12:43:00
T87,N128,N206,1500,2025-02-02 10:27:00
T88,N072,N244,120,2025-02-02 08:12:00
T89,N026,N282,1500,2025-02-02 12:32:00
T90,N115,N172,250,2025-02-01 12:05:00
T91,N123,N181,250,2025-02-01 19:45:00
T92,N036,N274,1500,2025-02-02 15:05:00
T93,N016,N297,340,2025-02-02 02:12:00
T94,N029,N206,1500,2025-02-01 09:29:00
T95,N015,N292,1500,2025-02-02 09:38:00
T96,N040,N161,340,2025-02-02 00:10:00
T97,N038,N242,250,2025-02-02 02:14:00
T98,N146,N242,250,2025-02-01 20:00:00
T99,N103,N265,480,2025-02-02 10:34:00
T100,N103,N278,340,2025-02-02 10:40:00
T101,N098,N159,120,2025-02-02 14:13:00
T102,N128,N228,120,2025-02-02 12:01:00
T103,N109,N246,120,2025-02-01 18:11:00
T104,N092,N188,250,2025-02-02 08:03:00
T105,N036,N283,120,2025-02-02 17:08:00
T106,N010,N213,250,2025-02-02 13:38:00
T107,N074,N196,340,2025-02-02 12:10:00
T108,N023,N224,480,2025-02-02 07:29:00
T109,N150,N269,250,2025-02-02 17:15:00
T110,N031,N254,120,2025-02-01 20:11:00
T111,N128,N286,900,2025-02-02 17:32:00
T112,N075,N239,900,2025-02-02 06:30:00
T113,N110,N249,120,2025-02-02 02:46:00
T114,N034,N175,120,2025-02-02 09:56:00
T115,N124,N283,1500,2025-02-01 16:24:00
T116,N114,N260,900,2025-02-02 09:11:00
T117,N143,N200,480,2025-02-02 15:20:00
T118,N132,N179,480,2025-02-01 14:18:00
T119,N042,N177,480,2025-02-02 15:45:00
T120,N004,N260,250,2025-02-02 11:05:00
T121,N121,N225,1500,2025-02-02 09:09:00
T122,N049,N219,480,2025-02-01 18:15:00
T123,N144,N240,250,2025-02-01 23:35:00
T124,N080,N205,480,2025-02-02 10:02:00
T125,N138,N153,1500,2025-02-01 20:19:00
T126,N118,N295,340,2025-02-01 10:47:00
T127,N010,N244,340,2025-02-01 12:57:00
T128,N136,N176,340,2025-02-01 19:10:00
T129,N014,N262,900,2025-02-01 15:36:00
T130,N106,N253,1500,2025-02-01 09:31:00
T131,N090,N225,480,2025-02-02 16:30:00
T132,N146,N205,480,2025-02-02 17:57:00
T133,N087,N177,900,2025-02-01 18:30:00
T134,N001,N276,120,2025-02-01 20:08:00
T135,N107,N226,1500,2025-02-02 14:17:00
T136,N143,N239,120,2025-02-02 17:08:00
T137,N047,N155,250,2025-02-01 09:53:00
T138,N021,N186,480,2025-02-01 22:39:00
T139,N063,N294,900,2025-02-01 18:50:00
T140,N001,N194,480,2025-02-01 21:37:00
T141,N053,N183,340,2025-02-01 23:54:00
T142,N129,N162,480,2025-02-01 09:42:00
T143,N150,N155,900,2025-02-02 15:11:00
T144,N075,N154,900,2025-02-02 16:32:00
T145,N142,N252,900,2025-02-02 11:25:00
T146,N103,N225,120,2025-02-02 10:22:00
T147,N094,N213,340,2025-02-01 23:05:00
T148,N098,N153,340,2025-02-01 09:52:00
T149,N138,N291,1500,2025-02-01 18:11:00
T150,N047,N251,480,2025-02-02 04:09:00
T151,N083,N246,340,2025-02-01 14:18:00
T152,N128,N194,120,2025-02-02 01:32:00
T153,N008,N184,900,2025-02-01 13:06:00
T154,N005,N258,1500,2025-02-01 13:22:00
T155,N104,N284,1500,2025-02-01 21:43:00
T156,N001,N292,340,2025-02-01 13:09:00
T157,N126,N277,340,2025-02-02 06:28:00
T158,N031,N188,120,2025-02-01 13:43:00
T159,N062,N152,900,2025-02-02 18:09:00
T160,N111,N214,480,2025-02-02 15:23:00
T161,N034,N186,340,2025-02-02 11:41:00
T162,N091,N279,120,2025-02-02 03:10:00
T163,N057,N162,1500,2025-02-01 23:43:00
T164,N030,N182,1500,2025-02-01 09:53:00
T165,N052,N282,250,2025-02-01 20:25:00
T166,N047,N183,340,2025-02-01 16:57:00
T167,N105,N212,340,2025-02-01 15:20:00
T168,N124,N175,250,2025-02-02 16:44:00
T169,N091,N195,900,2025-02-02 11:33:00
T170,N050,N263,340,2025-02-01 19:19:00
T171,N071,N277,340,2025-02-02 11:49:00
T172,N082,N272,900,2025-02-01 11:19:00
T173,N091,N265,120,2025-02-01 10:23:00
T174,N109,N200,250,2025-02-01 22:55:00
T175,N025,N218,250,2025-02-02 02:59:00
T176,N109,N222,480,2025-02-01 19:38:00
T177,N082,N188,900,2025-02-02 07:51:00
T178,N036,N240,480,2025-02-01 18:04:00
T179,N076,N166,480,2025-02-01 23:31:00
T180,N129,N153,250,2025-02-01 13:06:00
T181,N077,N283,900,2025-02-01 16:10:00
T182,N028,N209,340,2025-02-02 17:57:00
T183,N033,N206,120,2025-02-02 11:40:00
T184,N088,N295,1500,2025-02-01 13:42:00
T185,N019,N155,1500,2025-02-02 04:40:00
T186,N047,N172,480,2025-02-01 23:50:00
T187,N109,N172,900,2025-02-02 15:52:00
T188,N105,N181,480,2025-02-01 19:14:00
T189,N102,N246,900,2025-02-01 14:57:00
T190,N044,N297,250,2025-02-02 07:57:00
T191,N099,N163,900,2025-02-01 16:32:00
T192,N089,N254,120,2025-02-01 15:54:00
T193,N079,N260,120,2025-02-02 04:05:00
T194,N019,N257,120,2025-02-01 12:27:00
T195,N061,N279,480,2025-02-02 01:07:00
